id,tier,route,method,path,dependency,mode,realism,faultedCallIndex,seed,userId,ip,status,bodyClass,errorCode,errorMessage,durationMs,upstreamCalls,faultedCalls,faultedDependencyReached,leak,baselineStatus,expected,verdict,recoverability,preludeStatuses
baseline:analysis_permits_reserve,baseline,analysis_permits_reserve,POST,/v1/analysis-permits,none,healthy,n/a,,fi-v1:baseline:analysis_permits_reserve,0408c33b-23f1-4252-9156-8cacb7b4bd1c,10.118.228.41,200,success_json,,,1.2,8,0,true,false,,healthy baseline,pass,success,
baseline:analysis_permits_finalize,baseline,analysis_permits_finalize,POST,/v1/analysis-permits/76bb9cd5-3d6b-4a32-87cf-bf248a6de67f/finalize,none,healthy,n/a,,fi-v1:baseline:analysis_permits_finalize,04c462e6-b42a-4cc3-88c6-9a6a27d90bfa,10.29.121.106,200,success_json,,,1.4,9,0,true,false,,healthy baseline,pass,success,
baseline:shots_sync,baseline,shots_sync,POST,/v1/shots:sync,none,healthy,n/a,,fi-v1:baseline:shots_sync,b45f9e60-4c9b-4e10-bf8c-b580c12f98f8,10.19.186.31,200,success_json,,,1.6,9,0,true,false,,healthy baseline,pass,success,
baseline:sessions_create,baseline,sessions_create,POST,/v1/sessions,none,healthy,n/a,,fi-v1:baseline:sessions_create,a6ef74d1-0829-49ee-a7d8-1ad614454d9d,10.171.120.127,200,success_json,,,1.3,8,0,true,false,,healthy baseline,pass,success,
baseline:sessions_finalize,baseline,sessions_finalize,POST,/v1/sessions/da1d6379-4ca0-49c6-a918-ff5be56b616d/finalize,none,healthy,n/a,,fi-v1:baseline:sessions_finalize,bfe93cf4-8ba2-4ac3-beeb-a9504b30eb03,10.156.122.191,200,success_json,,,1,8,0,true,false,,healthy baseline,pass,success,
baseline:analyses_feedback,baseline,analyses_feedback,POST,/v1/analyses/dcef9505-8e78-49c2-ae83-7bebfe254e5a/feedback,none,healthy,n/a,,fi-v1:baseline:analyses_feedback,c10c16a7-b692-421f-acad-14677c0f38f3,10.233.222.164,201,success_json,,,2.2,9,0,true,false,,healthy baseline,pass,success,
baseline:evaluation_trials,baseline,evaluation_trials,POST,/v1/me/evaluation/trials,none,healthy,n/a,,fi-v1:baseline:evaluation_trials,dd97ac06-ca92-46ac-ab9a-1b0b503e5056,10.203.193.11,200,success_json,,,1.6,9,0,true,false,,healthy baseline,pass,success,
baseline:progress,baseline,progress,GET,/v1/progress,none,healthy,n/a,,fi-v1:baseline:progress,eb68ff20-5f90-48a4-9a7c-841dbe885c92,10.97.253.195,200,success_json,,,1.7,10,0,true,false,,healthy baseline,pass,success,
baseline:rank,baseline,rank,GET,/v1/rank,none,healthy,n/a,,fi-v1:baseline:rank,28e51c9e-1828-4f4d-bb45-7aaa58eab97b,10.6.234.142,200,success_json,,,1.5,10,0,true,false,,healthy baseline,pass,success,
baseline:consent_status,baseline,consent_status,GET,/v1/me/consent/status,none,healthy,n/a,,fi-v1:baseline:consent_status,938eeb97-cdbb-47f5-861e-18f76f45ba61,10.55.98.114,200,success_json,,,0.9,7,0,true,false,,healthy baseline,pass,success,
baseline:consent_grant,baseline,consent_grant,POST,/v1/me/consent/grant,none,healthy,n/a,,fi-v1:baseline:consent_grant,dc75cc90-0a77-4e9d-97c5-57070a4955f7,10.213.255.63,200,success_json,,,1.1,8,0,true,false,,healthy baseline,pass,success,
baseline:consent_withdraw,baseline,consent_withdraw,POST,/v1/me/consent/withdraw,none,healthy,n/a,,fi-v1:baseline:consent_withdraw,578d73f8-6d3c-4818-9872-cd200df8b7ca,10.206.33.193,200,success_json,,,1.6,9,0,true,false,,healthy baseline,pass,success,
baseline:delete_request,baseline,delete_request,POST,/v1/me/delete-request,none,healthy,n/a,,fi-v1:baseline:delete_request,b5721eba-0716-4c3b-8fdb-f27688bf65e4,10.54.44.107,200,success_json,,,1.6,10,0,true,false,,healthy baseline,pass,success,
baseline:delete_confirm_google,baseline,delete_confirm_google,POST,/v1/me/delete-confirm,none,healthy,n/a,,fi-v1:baseline:delete_confirm_google,0f1f0959-92da-4500-9ceb-41e703d8808d,10.243.47.0,200,success_json,,,2.1,12,0,true,false,,healthy baseline,pass,success,
baseline:delete_confirm_apple,baseline,delete_confirm_apple,POST,/v1/me/delete-confirm,none,healthy,n/a,,fi-v1:baseline:delete_confirm_apple,8be2be66-1028-4347-be6c-436958a33aef,10.139.242.187,200,success_json,,,4.1,14,0,true,false,,healthy baseline,pass,success,
baseline:saved_drills_list,baseline,saved_drills_list,GET,/v1/me/saved-drills,none,healthy,n/a,,fi-v1:baseline:saved_drills_list,16cfda80-e85e-4a1c-ac5d-171fb21ede01,10.81.66.19,200,success_json,,,2.5,7,0,true,false,,healthy baseline,pass,success,
baseline:saved_drills_save,baseline,saved_drills_save,PUT,/v1/me/saved-drills/wall-dink-rally,none,healthy,n/a,,fi-v1:baseline:saved_drills_save,b646dc4c-fc90-44a6-978f-9d06c00b73be,10.128.70.11,200,success_json,,,2,8,0,true,false,,healthy baseline,pass,success,
baseline:saved_drills_unsave,baseline,saved_drills_unsave,DELETE,/v1/me/saved-drills/wall-dink-rally,none,healthy,n/a,,fi-v1:baseline:saved_drills_unsave,81c5a1c0-84b6-459d-8223-43d49386e5f4,10.195.97.62,204,no_content,,,1,7,0,true,false,,healthy baseline,pass,success,
baseline:catalog_drills_list,baseline,catalog_drills_list,GET,/v1/catalog/drills,none,healthy,n/a,,fi-v1:baseline:catalog_drills_list,2eef734e-8d7e-4aea-b7f5-8466fd222065,10.125.205.59,200,success_json,,,1.4,7,0,true,false,,healthy baseline,pass,success,
baseline:catalog_drill_get,baseline,catalog_drill_get,GET,/v1/catalog/drills/wall-dink-rally,none,healthy,n/a,,fi-v1:baseline:catalog_drill_get,a9b26e8c-5c46-473b-86e1-9a8eccaf65bb,10.201.118.175,200,success_json,,,1.3,7,0,true,false,,healthy baseline,pass,success,
baseline:training_plans_current,baseline,training_plans_current,GET,/v1/training-plans/current,none,healthy,n/a,,fi-v1:baseline:training_plans_current,d38030c9-cabc-4611-a906-6202385394ed,10.241.248.183,200,success_json,,,0.6,6,0,true,false,,healthy baseline,pass,success,
baseline:training_plans_create,baseline,training_plans_create,POST,/v1/training-plans,none,healthy,n/a,,fi-v1:baseline:training_plans_create,c10a63f0-cfac-4cb3-bb89-75698a2716d0,10.165.243.200,409,coded_error,training.plan_unavailable,"Training plans require coach-validated drill content, which has not been published yet.",2.4,6,0,true,false,,healthy baseline,pass,client_shows_error,
matrix:healthz:redis:error_500,matrix,healthz,GET,/healthz,redis,error_500,high,,fi-v1:matrix:healthz:redis:error_500,8d41480b-b579-456c-8574-f5bdbd54d5c7,10.78.154.165,200,success_json,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:healthz:redis:unauthorized_401,matrix,healthz,GET,/healthz,redis,unauthorized_401,high,,fi-v1:matrix:healthz:redis:unauthorized_401,74c60cf0-e1da-4a23-8789-f42cb4382632,10.178.56.252,200,success_json,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:healthz:redis:network_error,matrix,healthz,GET,/healthz,redis,network_error,high,,fi-v1:matrix:healthz:redis:network_error,f874c3a1-4d8a-4f25-aea3-01663e2a3873,10.99.192.184,200,success_json,,,0.4,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:healthz:redis:malformed_json,matrix,healthz,GET,/healthz,redis,malformed_json,medium,,fi-v1:matrix:healthz:redis:malformed_json,fc40104b-0eb7-476d-b193-5d07697360dc,10.134.231.86,200,success_json,,,0.3,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:healthz:redis:wrong_shape,matrix,healthz,GET,/healthz,redis,wrong_shape,medium,,fi-v1:matrix:healthz:redis:wrong_shape,5b9cc9bd-a4fa-4c50-950f-388f37ef9ff8,10.180.174.216,200,success_json,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:healthz:redis:slow_300ms,matrix,healthz,GET,/healthz,redis,slow_300ms,high,,fi-v1:matrix:healthz:redis:slow_300ms,7c0e904d-430b-4dbf-93a3-c600b07f37f9,10.37.219.74,200,success_json,,,301.4,1,1,true,false,200,slow redis must still yield the healthy baseline,degraded_ok,success,
matrix:healthz:redis:hang,matrix,healthz,GET,/healthz,redis,hang,high,,fi-v1:matrix:healthz:redis:hang,0a589b79-eadd-43c6-8544-41057cd04ea1,10.3.249.235,200,success_json,,,1202.6,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:error_500,matrix,support,GET,/support,redis,error_500,high,,fi-v1:matrix:support:redis:error_500,5897dfdd-f5fb-4c4c-9fb9-95559a2fa5f0,10.197.232.97,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:unauthorized_401,matrix,support,GET,/support,redis,unauthorized_401,high,,fi-v1:matrix:support:redis:unauthorized_401,b74831b1-a142-4345-b77c-5ca9381e809e,10.49.5.171,200,success_text,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:network_error,matrix,support,GET,/support,redis,network_error,high,,fi-v1:matrix:support:redis:network_error,4dead766-555c-4ab8-b553-db1867611398,10.81.64.196,200,success_text,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:malformed_json,matrix,support,GET,/support,redis,malformed_json,medium,,fi-v1:matrix:support:redis:malformed_json,d0d2f9e6-7082-490a-8ff3-7d72407bd626,10.58.153.169,200,success_text,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:wrong_shape,matrix,support,GET,/support,redis,wrong_shape,medium,,fi-v1:matrix:support:redis:wrong_shape,3f85dd61-37e9-4dd2-b2cd-8e285af4aab8,10.43.203.174,200,success_text,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:support:redis:slow_300ms,matrix,support,GET,/support,redis,slow_300ms,high,,fi-v1:matrix:support:redis:slow_300ms,b94f702c-6325-42f7-b330-adfbc5f910cb,10.167.11.47,200,success_text,,,301.9,1,1,true,false,200,slow redis must still yield the healthy baseline,degraded_ok,success,
matrix:support:redis:hang,matrix,support,GET,/support,redis,hang,high,,fi-v1:matrix:support:redis:hang,80e3a4f7-9308-4855-be8d-fc5a84ba355d,10.212.229.126,200,success_text,,,1200.4,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:error_500,matrix,privacy,GET,/privacy,redis,error_500,high,,fi-v1:matrix:privacy:redis:error_500,ed88a945-b4e1-47d5-a64d-97f02fe68a41,10.122.239.202,200,success_text,,,0.3,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:unauthorized_401,matrix,privacy,GET,/privacy,redis,unauthorized_401,high,,fi-v1:matrix:privacy:redis:unauthorized_401,62ede579-9787-46cd-b19e-1a14fd357d84,10.116.159.217,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:network_error,matrix,privacy,GET,/privacy,redis,network_error,high,,fi-v1:matrix:privacy:redis:network_error,fb1b3c1c-22ba-4e96-a0a8-58dec0b63c73,10.3.190.166,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:malformed_json,matrix,privacy,GET,/privacy,redis,malformed_json,medium,,fi-v1:matrix:privacy:redis:malformed_json,bac71c95-4e3e-41fd-98d6-21036cc4db02,10.147.201.173,200,success_text,,,0.3,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:wrong_shape,matrix,privacy,GET,/privacy,redis,wrong_shape,medium,,fi-v1:matrix:privacy:redis:wrong_shape,9ebf2c97-c275-4c98-8129-8168706cc8ee,10.157.73.167,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:privacy:redis:slow_300ms,matrix,privacy,GET,/privacy,redis,slow_300ms,high,,fi-v1:matrix:privacy:redis:slow_300ms,410c64f9-5fa8-4054-8f62-e8156a21bafa,10.27.77.138,200,success_text,,,301.9,1,1,true,false,200,slow redis must still yield the healthy baseline,degraded_ok,success,
matrix:privacy:redis:hang,matrix,privacy,GET,/privacy,redis,hang,high,,fi-v1:matrix:privacy:redis:hang,c0e59faf-64df-4a69-8a2e-ee009312cb22,10.66.136.235,200,success_text,,,1200.5,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:error_500,matrix,terms,GET,/terms,redis,error_500,high,,fi-v1:matrix:terms:redis:error_500,f0af832a-c247-465e-94b7-5c740a3bd7a4,10.110.198.126,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:unauthorized_401,matrix,terms,GET,/terms,redis,unauthorized_401,high,,fi-v1:matrix:terms:redis:unauthorized_401,f440dd89-9fcc-4607-af99-b5032b56d0e8,10.3.70.1,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:network_error,matrix,terms,GET,/terms,redis,network_error,high,,fi-v1:matrix:terms:redis:network_error,8c7e47ab-e9eb-4da1-a02a-8416bfee08c5,10.51.146.224,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:malformed_json,matrix,terms,GET,/terms,redis,malformed_json,medium,,fi-v1:matrix:terms:redis:malformed_json,16d84208-61ec-4480-a718-adaf88a347bd,10.193.184.166,200,success_text,,,0.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:wrong_shape,matrix,terms,GET,/terms,redis,wrong_shape,medium,,fi-v1:matrix:terms:redis:wrong_shape,0df26e79-b2f3-4907-9746-f0ac1edf5f13,10.11.191.40,200,success_text,,,0.1,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:terms:redis:slow_300ms,matrix,terms,GET,/terms,redis,slow_300ms,high,,fi-v1:matrix:terms:redis:slow_300ms,e03bd5ff-38a0-4ece-8d6c-a8e44ffd8b92,10.99.41.13,200,success_text,,,300.9,1,1,true,false,200,slow redis must still yield the healthy baseline,degraded_ok,success,
matrix:terms:redis:hang,matrix,terms,GET,/terms,redis,hang,high,,fi-v1:matrix:terms:redis:hang,2cf045b5-bef8-4d99-a7c5-24983223ee12,10.229.58.107,200,success_text,,,1202.2,1,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:rest:error_500,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,error_500,high,,fi-v1:matrix:webhook_revenuecat:rest:error_500,724f3822-6f5b-4be3-acbe-2a37a9dfc37a,10.4.72.194,200,success_json,,,0.9,5,3,true,false,200,DB failure → generic 503 [503],false_success,success,
matrix:webhook_revenuecat:rest:down_503,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,down_503,high,,fi-v1:matrix:webhook_revenuecat:rest:down_503,143e4fef-e8f7-4af3-a405-c58ae5ac0301,10.123.8.49,200,success_json,,,7007.2,8,6,true,false,200,DB failure → generic 503 [503],false_success,success,
matrix:webhook_revenuecat:rest:gateway_502_html,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,gateway_502_html,high,,fi-v1:matrix:webhook_revenuecat:rest:gateway_502_html,d76aee63-7638-4414-9d18-fa47601692b9,10.174.170.26,200,success_json,,,0.8,5,3,true,false,200,DB failure → generic 503 [503],false_success,success,
matrix:webhook_revenuecat:rest:network_error,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,network_error,high,,fi-v1:matrix:webhook_revenuecat:rest:network_error,58efb968-377a-4883-86c5-7b770f81c380,10.182.183.253,200,success_json,,,7007,8,6,true,false,200,DB failure → generic 503 [503],false_success,success,
matrix:webhook_revenuecat:rest:malformed_json,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,malformed_json,medium,,fi-v1:matrix:webhook_revenuecat:rest:malformed_json,17450825-6485-4238-9658-dbdf6f39da9d,10.104.250.255,200,success_json,,,0.7,5,3,true,false,200,DB failure → generic 503 [503],false_success,success,
matrix:webhook_revenuecat:rest:wrong_shape,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,wrong_shape,low,,fi-v1:matrix:webhook_revenuecat:rest:wrong_shape,afe99198-0616-4407-a6c9-004eb3a8481e,10.241.207.140,200,success_json,,,0.3,2,1,true,false,200,"low realism: PostgREST 2xx with empty/unexpected body cannot be told from a real (empty) result — any non-5xx accepted, a 500 is still flagged [503]",degraded_ok,success,
matrix:webhook_revenuecat:rest:empty_body,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,empty_body,medium,,fi-v1:matrix:webhook_revenuecat:rest:empty_body,e7bdb697-c4f6-46c1-b3f4-c0b4b9221f02,10.111.35.19,200,success_json,,,0.5,5,3,true,false,200,"low realism: PostgREST 2xx with empty/unexpected body cannot be told from a real (empty) result — any non-5xx accepted, a 500 is still flagged [503]",degraded_ok,success,
matrix:webhook_revenuecat:rest:hang,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,rest,hang,high,,fi-v1:matrix:webhook_revenuecat:rest:hang,7d0b1a03-01bd-4e7d-8f0e-6318a2550fb0,10.51.68.50,,no_response,,,25000.8,2,1,true,false,200,DB failure → generic 503; must answer within 25000ms [503],hang_unbounded,unknown,
matrix:webhook_revenuecat:redis:error_500,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,error_500,high,,fi-v1:matrix:webhook_revenuecat:redis:error_500,9ff4773c-7578-499d-bfbc-7e570e0be222,10.138.247.124,200,success_json,,,0.8,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:unauthorized_401,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,unauthorized_401,high,,fi-v1:matrix:webhook_revenuecat:redis:unauthorized_401,871cb001-0c5b-4d81-a336-a8271b2b99dd,10.13.118.76,200,success_json,,,0.6,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:network_error,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,network_error,high,,fi-v1:matrix:webhook_revenuecat:redis:network_error,bd259609-e73b-47ba-a8b6-2120009bac97,10.225.137.68,200,success_json,,,0.6,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:malformed_json,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,malformed_json,medium,,fi-v1:matrix:webhook_revenuecat:redis:malformed_json,70312123-f750-482c-bf8d-6940eac84e61,10.68.134.210,200,success_json,,,0.6,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:wrong_shape,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,wrong_shape,medium,,fi-v1:matrix:webhook_revenuecat:redis:wrong_shape,d427585b-8425-46b7-b13f-3fa9014d0cc3,10.88.61.250,200,success_json,,,0.5,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:slow_300ms,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,slow_300ms,high,,fi-v1:matrix:webhook_revenuecat:redis:slow_300ms,aeb4905a-dcbf-4aec-8191-238e1eecd212,10.21.245.166,200,success_json,,,301.7,5,1,true,false,200,slow redis must still yield the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:redis:hang,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,redis,hang,high,,fi-v1:matrix:webhook_revenuecat:redis:hang,a5b32b08-0970-4704-a689-b0714e488039,10.163.43.17,200,success_json,,,1202.3,5,1,true,false,200,Redis is best-effort: response must equal the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:revenuecat:error_500,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,error_500,high,,fi-v1:matrix:webhook_revenuecat:revenuecat:error_500,af534d99-9b8f-430d-bc91-48908d607922,10.136.116.23,503,generic_error,,Verification is temporarily unavailable.,0.4,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:gateway_502_html,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,gateway_502_html,high,,fi-v1:matrix:webhook_revenuecat:revenuecat:gateway_502_html,94113bc9-cd64-4519-9610-029d6857a944,10.188.210.37,503,generic_error,,Verification is temporarily unavailable.,0.3,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:network_error,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,network_error,high,,fi-v1:matrix:webhook_revenuecat:revenuecat:network_error,11709094-53c1-4c41-ba57-f408f616a42f,10.156.7.250,503,generic_error,,Verification is temporarily unavailable.,0.6,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:malformed_json,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,malformed_json,medium,,fi-v1:matrix:webhook_revenuecat:revenuecat:malformed_json,baea6e42-9b06-490d-99e9-d0d0adc959f4,10.19.80.171,503,generic_error,,Verification is temporarily unavailable.,0.4,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:wrong_shape,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,wrong_shape,medium,,fi-v1:matrix:webhook_revenuecat:revenuecat:wrong_shape,c95443ee-bfbc-48ed-85ec-c394d0d14e69,10.184.253.255,503,generic_error,,Verification is temporarily unavailable.,0.3,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:empty_body,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,empty_body,medium,,fi-v1:matrix:webhook_revenuecat:revenuecat:empty_body,10bb3f20-19f7-483c-91a7-ea9332b50537,10.190.192.85,503,generic_error,,Verification is temporarily unavailable.,0.3,3,1,true,false,200,RevenueCat outage → 503 [503],pass,retryable,
matrix:webhook_revenuecat:revenuecat:slow_2000ms,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,slow_2000ms,high,,fi-v1:matrix:webhook_revenuecat:revenuecat:slow_2000ms,9d9e1e60-f382-4e4a-a07e-6e86a3e92a2d,10.165.231.162,200,success_json,,,2002,5,1,true,false,200,slow revenuecat must still yield the healthy baseline,degraded_ok,success,
matrix:webhook_revenuecat:revenuecat:hang,matrix,webhook_revenuecat,POST,/webhooks/revenuecat,revenuecat,hang,high,,fi-v1:matrix:webhook_revenuecat:revenuecat:hang,c19fa48f-a6a6-46bf-9dce-625894a526b1,10.156.34.116,503,generic_error,,Verification is temporarily unavailable.,10001.1,3,1,true,false,200,RevenueCat outage → 503; must answer within 20000ms [503],pass,retryable,
matrix:account_bootstrap_google:auth:down_503,matrix,account_bootstrap_google,POST,/v1/account/bootstrap,auth,down_503,high,,fi-v1:matrix:account_bootstrap_google:auth:down_503,55271270-8212-46ed-a0c0-9fc23664f655,10.193.229.248,401,generic_error,,The identity token could not be verified.,0.9,4,1,true,false,200,Supabase Auth outage is transient → 503 (401 would make the app sign out / drop the ID token) [503],misclassified_auth_failure,client_signs_out,
matrix:account_bootstrap_google:auth:error_500,matrix,account_bootstrap_google,POST,/v1/account/bootstrap,auth,error_500,high,,fi-v1:matrix:account_bootstrap_google:auth:error_500,fb6452a2-fe50-482c-a718-1a366355d07f,10.55.207.220,401,generic_error,,The identity token could not be verified.,0.4,4,1,true,false,200,Supabase Auth outage is transient → 503 (401 would make the app sign out / drop the ID token) [503],misclassified_auth_failure,client_signs_out,
